name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,total_pieces,target_age,difficulty_level,link_rakuten
ミニナノ 名探偵コナン vol.4,NBMC_53,2023-01-21,105×180×13,32×38×28,50,6,300,12,NA,https://item.rakuten.co.jp/diablock/4972825225349/
ミニナノ ドラゴンボールZ vol.3,NBMC_52,2023-01-21,105×180×13,30×38×40,50,6,300,12,NA,https://item.rakuten.co.jp/diablock/4972825225400/
ドラゴンボールZ セル 完全体,NBDB_016,2023-01-21,105×180×13,36×62×24,110,NA,110,12,2,https://item.rakuten.co.jp/diablock/4972825214244/
ドラゴンボールZ トランクス,NBDB_015,2023-01-21,105×180×13,40×56×30,110,NA,110,12,2,https://item.rakuten.co.jp/diablock/4972825214237/
ドラゴンボールZ 孫 悟飯 スーパーサイヤ人,NBDB_014,2023-01-21,105×180×13,36×61×36,120,NA,120,12,3,https://item.rakuten.co.jp/diablock/4972825214220/
ナノブロックパッド ミニ,NB_053,2023-01-21,105×180×13,80×80×2,NA,NA,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825222560/
ミニナノ きかんしゃトーマス,NBMC_51,2023-01-21,105×180×13,24×30×32,50,6,300,12,NA,https://item.rakuten.co.jp/diablock/4972825225387/
僕のヒーローアカデミア エンデヴァー,NBCC_146,2022-11-19,105×180×30,55×80×30,190,NA,190,12,2,https://item.rakuten.co.jp/diablock/4972825225295/
僕のヒーローアカデミア ホークス,NBCC_147,2022-11-19,105×180×30,75×75×45,190,NA,190,12,2,https://item.rakuten.co.jp/diablock/4972825225288/
僕のヒーローアカデミア 轟 焦凍,NBCC_145,2022-11-19,105×180×30,45×55×70,200,NA,200,12,3,https://item.rakuten.co.jp/diablock/4972825225264/
僕のヒーローアカデミア 麗日 お茶子,NBCC_144,2022-11-19,105×180×30,45×75×40,220,NA,220,12,3,https://item.rakuten.co.jp/diablock/4972825225271/
僕のヒーローアカデミア 爆豪 勝己,NBCC_143,2022-11-19,105×180×30,65×55×45,210,NA,210,12,3,https://item.rakuten.co.jp/diablock/4972825225257/
僕のヒーローアカデミア 緑谷 出久,NBCC_142,2022-11-19,105×180×30,45×80×40,180,NA,180,12,2,https://item.rakuten.co.jp/diablock/4972825225240/
ポケットモンスター メタグロス,NBPM_098,2022-11-19,105×180×13,90×45×55,230,NA,230,12,2,https://item.rakuten.co.jp/diablock/4972825225554/
ポケットモンスター ミロカロス,NBPM_097,2022-11-19,105×180×13,70×60×55,200,NA,200,12,2,https://item.rakuten.co.jp/diablock/4972825225547/
ポケットモンスター サーナイト,NBPM_096,2022-11-19,105×180×13,45×65×50,130,NA,130,12,2,https://item.rakuten.co.jp/diablock/4972825225530/
"ポケットモンスター
 パルキア デラックス エディション",NBPM_095,2022-11-19,280×210×45,95×120×205,1050,NA,1050,12,4,https://item.rakuten.co.jp/diablock/4972825225318/
"ポケットモンスター
 ディアルガ デラックス エディション",NBPM_094,2022-11-19,280×210×45,130×145×195,1020,NA,1020,12,4,https://item.rakuten.co.jp/diablock/4972825225301/
ミニナノ ゴジラ vol.2,NBMC_49,2022-11-19,105×180×13,30×38×40,50,6,300,12,NA,https://item.rakuten.co.jp/diablock/4972825224137/
ミニナノ ウルトラマン vol.3 (ウルトラセブン編),NBMC_48,2022-11-19,105×180×13,28×41×64,70,6,420,12,NA,https://item.rakuten.co.jp/diablock/4972825224366/
ミニナノ サンリオキャラクターズ vol.2 はぴだんぶい,NBMC_47,2022-11-19,105×180×13,36×47×17,60,6,360,12,NA,https://item.rakuten.co.jp/diablock/4972825225202/
ミニナノ 招福みくじ,NBMC_50,2022-11-19,105×180×13,28×38×24,70,6,420,12,NA,https://item.rakuten.co.jp/diablock/4972825225226/
干支 卯,NBC_377,2022-11-19,105×180×13,30×58×40,130,NA,130,12,2,https://item.rakuten.co.jp/diablock/4972825224373/
