name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level,link_rakuten
ミニナノ 名探偵コナン vol.4,NBMC_53,2023/01/21,105×180×13 (mm),"32×38×28 (mm)
 （参考：コナン）",50（参考：コナン）,1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825225349/
ミニナノ ドラゴンボールZ vol.3,NBMC_52,2023/01/21,105×180×13 (mm),"30×38×40 (mm)
 （参考：ギニュー 悟空）",50（参考：ギニュー 悟空）,1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825225400/
ドラゴンボールZ セル 完全体,NBDB_016,2023/01/21,105×180×13 (mm),36×62×24 (mm),110,NA,12,2,https://item.rakuten.co.jp/diablock/4972825214244/
ドラゴンボールZ トランクス,NBDB_015,2023/01/21,105×180×13 (mm),40×56×30 (mm),110,NA,12,2,https://item.rakuten.co.jp/diablock/4972825214237/
ドラゴンボールZ 孫 悟飯 スーパーサイヤ人,NBDB_014,2023/01/21,105×180×13 (mm),36×61×36 (mm),120,NA,12,3,https://item.rakuten.co.jp/diablock/4972825214220/
ナノブロックパッド ミニ,NB-053,2023/01/21,105×180×13 (mm),80×80×2 (mm),NA,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825222560/
ミニナノ きかんしゃトーマス,NBMC_51,2023/01/21,105×180×13 (mm),"24×30×32 (mm)
 （参考：トーマス）",50（参考：トーマス）,1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825225387/
僕のヒーローアカデミア エンデヴァー,NBCC_146,2022/11/19,105×180×30 (mm),55×80×30 (mm),190,NA,12,2,https://item.rakuten.co.jp/diablock/4972825225295/
僕のヒーローアカデミア ホークス,NBCC_147,2022/11/19,105×180×30 (mm),75×75×45 (mm),190,NA,12,2,https://item.rakuten.co.jp/diablock/4972825225288/
僕のヒーローアカデミア 轟 焦凍,NBCC_145,2022/11/19,105×180×30 (mm),45×55×70 (mm),200,NA,12,3,https://item.rakuten.co.jp/diablock/4972825225264/
僕のヒーローアカデミア 麗日 お茶子,NBCC_144,2022/11/19,105×180×30 (mm),45×75×40 (mm),220,NA,12,3,https://item.rakuten.co.jp/diablock/4972825225271/
僕のヒーローアカデミア 爆豪 勝己,NBCC_143,2022/11/19,105×180×30 (mm),65×55×45 (mm),210,NA,12,3,https://item.rakuten.co.jp/diablock/4972825225257/
僕のヒーローアカデミア 緑谷 出久,NBCC_142,2022/11/19,105×180×30 (mm),45×80×40 (mm),180,NA,12,2,https://item.rakuten.co.jp/diablock/4972825225240/
ポケットモンスター メタグロス,NBPM_098,2022/11/19,105×180×13 (mm),90×45×55 (mm),230,NA,12,2,https://item.rakuten.co.jp/diablock/4972825225554/
ポケットモンスター ミロカロス,NBPM_097,2022/11/19,105×180×13 (mm),70×60×55 (mm),200,NA,12,2,https://item.rakuten.co.jp/diablock/4972825225547/
ポケットモンスター サーナイト,NBPM_096,2022/11/19,105×180×13 (mm),45×65×50 (mm),130,NA,12,2,https://item.rakuten.co.jp/diablock/4972825225530/
"ポケットモンスター
 パルキア デラックス エディション",NBPM_095,2022/11/19,280×210×45 (mm),95×120×205 (mm),1050,NA,12,4,https://item.rakuten.co.jp/diablock/4972825225318/
"ポケットモンスター
 ディアルガ デラックス エディション",NBPM_094,2022/11/19,280×210×45 (mm),130×145×195 (mm),1020,NA,12,4,https://item.rakuten.co.jp/diablock/4972825225301/
ミニナノ ゴジラ vol.2,NBMC_49,2022/11/19,105×180×13 (mm),"30×38×40 (mm)
 (参考：ゴジラ)",50 (参考：ゴジラ),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825224137/
ミニナノ ウルトラマン vol.3 (ウルトラセブン編),NBMC_48,2022/11/19,105×180×13 (mm),"28×41×64 (mm)
 (参考：ウルトラセブン)",70(参考：ウルトラセブン),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825224366/
ミニナノ サンリオキャラクターズ vol.2 はぴだんぶい,NBMC_47,2022/11/19,105×180×13 (mm),"36×47×17 (mm)
 (参考：ポチャッコ)",60(参考：ポチャッコ),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825225202/
ミニナノ 招福みくじ,NBMC_50,2022/11/19,105×180×13 (mm),"28×38×24 (mm)
 （参考：白招き猫）",70 (参考：白招き猫),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825225226/
