nanoblock_item_number,rakuten_price,rakuten_points,rakuten_weight_g
NBMC_53,3960,36,132
NBMC_52,3960,36,132
NBDB_016,1045,9,25
NBDB_015,1045,9,25
NBDB_014,1045,9,27
NB_053,660,6,18
NBMC_51,3960,36,999
NBCC_146,1760,16,48
NBCC_147,1760,16,51
NBCC_145,1760,16,50
NBCC_144,1760,16,51
NBCC_143,1760,16,49
NBCC_142,1760,16,49
NBPM_098,1210,11,42
NBPM_097,1210,11,36
NBPM_096,1210,11,31
NBPM_095,5060,46,277
NBPM_094,5060,46,269
NBMC_49,3960,36,132
NBMC_48,3960,36,132
NBMC_47,3960,36,126
NBMC_50,3960,36,126
NBC_377,858,7,26
NB_057,8800,80,750
NBC_368,858,7,34
NBC_369,858,7,31
NBMC_46,3960,36,150
NBCC_140,1760,16,55
NBCC_130,1760,16,50
NBCC_131,1760,16,56
NBMC_42,3960,36,150
NBMC_43,3960,36,150
NBPM_092,1650,15,69
NBPM_093,1650,15,77
NBH_228,2200,20,117
NBMC_39,3960,36,120
NBH_229,2750,25,118
NBM_034,4620,42,309
NBM_033,3300,30,276
NBC_367,858,7,35
NBC_366,858,7,36
NBC_365,858,7,28
NBC_364,858,7,38
NBC_363,858,7,37
NBC_362,858,7,30
NBMC_41,3960,36,126
NBMC_40,3960,36,132
NBMC_38,3960,36,138
NBPM_091,1650,15,65
NBPM_090,1650,15,70
NBPM_089,1650,15,63
NBMC_36,3960,36,108
NBMC_35,3960,36,120
NBMC_37,3960,36,138
NBMC_34,3960,36,138
NBMC_33,3960,36,999
NBPM_088,1045,9,35
NBPM_087,1045,9,31
NBPM_086,1045,9,29
NBPM_085,1210,11,29
NBPM_084,1210,11,30
NBPM_083,1210,11,28
NBPM_082,1210,11,32
NBMC_24,3960,36,999
NBDB_009,1045,9,29
NBDB_007,1045,9,32
NBDB_004,1045,9,28
NBDB_003,1045,9,28
NBDB_002,1045,9,27
NBDB_001,1045,9,28
NBMC_32,3960,36,150
NBMC_31,3960,36,150
NBMC_30,3960,36,150
NBCC_123,1760,16,50
NBCC_122,1760,16,49
NBC_361,858,7,35
NBH_225,1848,16,91
NBH_224,1848,16,92
NBPM_080,3850,35,190
NBH_220,2750,25,133
NBMC_29,3960,36,NA
NBH_222,1848,16,133
NBM_032,3300,30,161
NB_054,11000,100,925
NBCC_118,1760,16,54
NBCC_117,1760,16,49
NBPM_079,1045,9,35
NBPM_078,1045,9,31
NBPM_077,1045,9,29
NBC_358,935,8,36
NBC_357,1045,9,29
NBC_356,1045,9,29
NBMC_26,3960,36,150
NBMC_25,3960,36,144
NBC_354,858,7,37
NBC_353,858,7,27
NBC_352,858,7,32
NBC_333,858,7,32
NBC_332,858,7,34
NBMC_28,660,6,NA
NBMC_27,3960,36,144
CN_36,1980,18,103
NBMC_23,3960,36,20
NBMC_22,3960,36,NA
NBC_349,858,7,39
NBC_348,858,7,32
NBC_347,858,7,28
NBC_346,858,7,27
NBC_345,858,7,30
NBC_344,858,7,31
NBC_343,858,7,32
NBH_219,2750,25,107
NBH_218,1848,16,114
NBM_031,3300,30,200
NB_051,8800,80,909
NBCC_107,1320,12,52
NBCC_106,1320,12,52
NBCC_105,1320,12,51
NBMC_21,3960,36,24
NBMC_20,3960,36,22
NBC_338,858,7,25
NBC_337,858,7,31
NBC_336,858,7,33
NBH_212,1848,16,97
NBH_211,1848,16,111
NBPM_076,1210,11,58
NBPM_075,1210,11,38
CN_32,2200,20,108
NBMC_18,3960,36,25
NBMC_17,3960,36,19
NBMC_16,3960,36,16
NBPM_073,1210,11,31
NBPM_072,1210,11,30
NBPM_071,1210,11,28
NBMC_19,3960,36,22
NB_050,11000,100,582
NBMC_14,3960,36,16
NBMC_13,3960,36,19
NBH_207,1848,16,130
NBH_205,2970,27,181
NBPM_074,11000,100,386
NBPM_070,1210,11,34
NBPM_069,1430,13,58
CN_29,1980,18,104
