nanoblock_item_number,rakuten_item_description,rakuten_price,rakuten_points
NBMC_53,"品番：NBMC_53S

「名探偵コナン」のミニナノシリーズ第4弾が登場！！■「ミニナノ」はブラインドパッケージで展開するちっちゃくてカワイイ、ナノブロックのミニコレクタブルライン。■江戸川コナン、灰原 哀 、阿笠博士、沖矢 昴、ジン、ベルモットの計6種がラインナップ。■江戸川コナン、阿笠博士、沖矢 昴のメガネはシールで再現。■1BOX6個入りのブラインドパッケージ仕様。BOX購入で全6種コンプリート。■ピース数：50（コナン）

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 32× 高さ 38× 奥行 28
◆重量(g)：132
◆パッケージサイズ(mm)：幅 110× 高さ 186× 奥行 90

(C)青山剛昌／小学館・読売テレビ・TMS 1996

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","3,960円",36ポイント
NBMC_53,"品番：NBMC_53S

「名探偵コナン」のミニナノシリーズ第4弾が登場！！■「ミニナノ」はブラインドパッケージで展開するちっちゃくてカワイイ、ナノブロックのミニコレクタブルライン。■江戸川コナン、灰原 哀 、阿笠博士、沖矢 昴、ジン、ベルモットの計6種がラインナップ。■江戸川コナン、阿笠博士、沖矢 昴のメガネはシールで再現。■1BOX6個入りのブラインドパッケージ仕様。BOX購入で全6種コンプリート。■ピース数：50（コナン）

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 32× 高さ 38× 奥行 28
◆重量(g)：132
◆パッケージサイズ(mm)：幅 110× 高さ 186× 奥行 90

(C)青山剛昌／小学館・読売テレビ・TMS 1996

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","3,960円",36ポイント
NBMC_52,"品番：NBMC_52S

「ドラゴンボールZ」のミニナノシリーズ第3弾が登場！！■「ミニナノ」はブラインドパッケージで展開するちっちゃくてカワイイ、ナノブロックのミニコレクタブルライン。■第３弾はギニュー特戦隊をフューチャー。ギニュー、ジース、リクーム、バータ、グルド、ギニュー （孫 悟空 ※カエル付き）、の計6種がラインナップ。■ギニュー特戦隊を５人集めることで、おなじみの集合ポーズも再現可能です。■1BOX6個入りのブラインドパッケージ仕様。BOX購入で全6種コンプリート。■ピース数：50(ギニュー 悟空)

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 30× 高さ 38× 奥行 40
◆重量(g)：132
◆パッケージサイズ(mm)：幅 110× 高さ 186× 奥行 90

(C)バードスタジオ／集英社・東映アニメーション

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","3,960円",36ポイント
NBDB_016,"品番：NBDB_016

人気アニメシリーズ、『ドラゴンボールＺ』の「セル (完全体)」が新登場！■人造人間17号と18号を吸収し完全体となったセルの姿を再現。■｢NBDB_014 孫 悟飯 スーパーサイヤ人｣｢NBDB_015 トランクス｣も同時発売。■難易度：3■ピース数：110

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 36× 高さ 62× 奥行 24
◆重量(g)：25
◆パッケージサイズ(mm)：幅 105× 高さ 180× 奥行 13

(C)バードスタジオ／集英社・東映アニメーション

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","1,045円",9ポイント
NBDB_015,"品番：NBDB_015

人気アニメシリーズ、『ドラゴンボールＺ』の「トランクス」が新登場！■背中に背負っているトランクスの剣は着脱可能。■｢NBDB_014 孫 悟飯 スーパーサイヤ人｣｢NBDB_016 セル (完全体)｣も同時発売。■難易度：3■ピース数：110

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 40× 高さ 56× 奥行 30
◆重量(g)：25
◆パッケージサイズ(mm)：幅 105× 高さ 180× 奥行 13

(C)バードスタジオ／集英社・東映アニメーション

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","1,045円",9ポイント
NBDB_014,"品番：NBDB_014

人気アニメシリーズ、『ドラゴンボールＺ』の「孫 悟飯 スーパーサイヤ人」が新登場！■セルとの戦いの中で見せたスーパーサイヤ人2の姿を再現。■｢NBDB_015 トランクス｣｢NBDB_016 セル(完全体)｣も同時発売。■難易度：3■ピース数：120

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 36× 高さ 61× 奥行 36
◆重量(g)：27
◆パッケージサイズ(mm)：幅 105× 高さ 180× 奥行 13

(C)バードスタジオ／集英社・東映アニメーション

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","1,045円",9ポイント
NB-053,"品番：NB-053

ナノブロックの組み立てに便利なポッチがついたシリコンパッド！■とてもコンパクトで「NB-20 ナノブロックパッド」の約1/4の大きさです。パッドについているポッチの大きさは変わりません。■省スペース化したことで、もっと気軽にナノブロックを楽しむことができます。

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 80× 高さ 80× 奥行 2
◆重量(g)：18
◆パッケージサイズ(mm)：幅 105× 高さ 180× 奥行 13

※モニターの発色具合によって実際の商品と色味が異なる場合があります。",660円,6ポイント
NBMC_51,"品番：NBMC_51S

ミニナノに「きかんしゃトーマス」が新登場！！■「ミニナノ」はブラインドパッケージで展開するちっちゃくてカワイイ、ナノブロックのミニコレクタブルライン。■トーマス、パーシー、ディーゼル、カナ、ニア、トップハム ・ハット卿の計6種がラインナップ。顔と体の模様はシールで再現。■1BOX6個入りのブラインドパッケージ仕様。BOX購入で全6種コンプリート。■ピース数：50（トーマス）

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 24× 高さ 30× 奥行 32
◆重量(g)：999
◆パッケージサイズ(mm)：幅 110× 高さ 186× 奥行 90

(C)2022 Gullane(Thomas) Limited. (C)2022 HIT Entertainment Limited.

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","3,960円",36ポイント
NBCC_146,"品番：NBCC_146

大人気TVアニメ「僕のヒーローアカデミア」から、轟焦凍の父であり、No.1プロヒーローの「エンデヴァー」が新登場！！■炎で覆われた姿をクリアオレンジのブロックを多用して再現。■「NBCC_142 緑谷 出久」「NBCC_143 爆豪 勝己」「NBCC_144 麗日 お茶子」「NBCC_145 轟 焦凍」「NBCC_147 ホークス」も同時発売。■難易度：2　ピース数：190

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 55× 高さ 80× 奥行 30
◆重量(g)：48
◆パッケージサイズ(mm)：幅 105× 高さ 180× 奥行 30

(C) KH/S, MP

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","1,760円",16ポイント
NBCC_147,"品番：NBCC_147

大人気TVアニメ「僕のヒーローアカデミア」から、実力と人気を兼ね備えるプロヒーロー「ホークス」が新登場！！■大きな翼を広げ、構えている姿を再現。翼は可動します。■「NBCC_142 緑谷 出久」「NBCC_143 爆豪 勝己」「NBCC_144 麗日 お茶子」「NBCC_145 轟 焦凍」「NBCC_146 エンデヴァー」も同時発売。■難易度：2　ピース数：190

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 75× 高さ 75× 奥行 45
◆重量(g)：51
◆パッケージサイズ(mm)：幅 105× 高さ 180× 奥行 30

(C) KH/S, MP

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","1,760円",16ポイント
NBCC_145,"品番：NBCC_145

大人気TVアニメ「僕のヒーローアカデミア」から、知力・体力共にトップクラスの実力者「轟 焦凍」が新登場！！■”個性”『半冷半燃』を同時に発動し、攻撃している姿を再現。■「NBCC_142 緑谷 出久」「NBCC_143 爆豪 勝己」「NBCC_144 麗日 お茶子」「NBCC_146 エンデヴァー」「NBCC_147 ホークス」も同時発売。■難易度：3　ピース数：200

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 40× 高さ 55× 奥行 70
◆重量(g)：50
◆パッケージサイズ(mm)：幅 105× 高さ 180× 奥行 30

(C) KH/S, MP

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","1,760円",16ポイント
NBCC_144,"品番：NBCC_144

大人気TVアニメ「僕のヒーローアカデミア」から、緑谷出久の良き理解者「麗日 お茶子」が新登場！！■麗日お茶子の”個性”『無重力（ゼログラビティ）』を使い、浮いている姿を再現。■「NBCC_142 緑谷 出久」「NBCC_143 爆豪 勝己」「NBCC_145 轟 焦凍」「NBCC_146 エンデヴァー」「NBCC_147 ホークス」も同時発売。■難易度：3　ピース数：220

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 45× 高さ 75× 奥行 40
◆重量(g)：51
◆パッケージサイズ(mm)：幅 105× 高さ 180× 奥行 30

(C) KH/S, MP

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","1,760円",16ポイント
NBCC_143,"品番：NBCC_143

大人気TVアニメ「僕のヒーローアカデミア」から、緑谷出久の幼馴染みで、『爆破』を”個性”に持つ「爆豪 勝己」が新登場！！■今にも敵＜ヴィラン＞に立ち向かおうとする姿を再現。両手の爆破エフェクトは取り外すこともできます。■「NBCC_142 緑谷 出久」「NBCC_144 麗日 お茶子」「NBCC_145 轟 焦凍」「NBCC_146 エンデヴァー」「NBCC_147 ホークス」も同時発売。■難易度：3　ピース数：210

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 65× 高さ 55× 奥行 45
◆重量(g)：49
◆パッケージサイズ(mm)：幅 105× 高さ 180× 奥行 30

(C) KH/S, MP

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","1,760円",16ポイント
NBCC_142,"品番：NBCC_142

大人気TVアニメ「僕のヒーローアカデミア」からヒーローになることを夢見る主人公「緑谷 出久」が新登場！！■作品の中にも登場する躍動的なポーズを再現。■「NBCC_143 爆豪 勝己」「NBCC_144 麗日 お茶子」「NBCC_145 轟 焦凍」「NBCC_146 エンデヴァー」「NBCC_147 ホークス」も同時発売。■難易度：2　ピース数：180

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 45× 高さ 80× 奥行 40
◆重量(g)：49
◆パッケージサイズ(mm)：幅 105× 高さ 180× 奥行 30

(C) KH/S, MP

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","1,760円",16ポイント
NBPM_098,"品番：NBPM_098

ポケナノシリーズに「メタグロス」が新登場！！■４つの　のうみそは　スーパーコンピュータよりも　はやく　むずかしい　けいさんの　こたえを　だす。　４ほんあしを　おりたたみ　くうちゅうに　うかぶ。(『ポケットモンスター ルビー』より）■体を支える大きな4本の脚や特徴的な顔を細部まで再現。■「NBPM_096 ポケットモンスター サーナイト」「NBPM_097 ポケットモンスター ミロカロス」も同時発売！■難易度：2　ピース数：230

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 90× 高さ 45× 奥行 55
◆重量(g)：42
◆パッケージサイズ(mm)：幅 105× 高さ 180× 奥行 13

(C)Pokemon. (C)Nintendo/Creatures Inc./GAME FREAK inc.

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","1,210円",11ポイント
NBPM_097,"品番：NBPM_097

ポケナノシリーズに「ミロカロス」が新登場！！■もっとも　うつくしい　ポケモンと　いわれている。　いかりや　にくしみの　こころを　いやして　あらそいを　しずめる　ちからを　もっている。(『ポケットモンスター ルビー』より）■特徴的な触角など、細部まで再現。■「NBPM_096 ポケットモンスター サーナイト」NBPM_098 ポケットモンスター メタグロス」も同時発売！■難易度：2　ピース数：200

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 70× 高さ 60× 奥行 55
◆重量(g)：36
◆パッケージサイズ(mm)：幅 105× 高さ 180× 奥行 13

(C)Pokemon. (C)Nintendo/Creatures Inc./GAME FREAK inc.

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","1,210円",11ポイント
NBPM_096,"品番：NBPM_096

ポケナノシリーズに「サーナイト」が新登場！！■みらいを　よちする　のうりょくで　トレーナーの　きけんを　さっちしたとき　さいだい　パワーの　サイコエネルギーを　つかうと　いわれている。(『ポケットモンスター ルビー』より）■特徴的な長く伸びた体など、まるでドレスを着ているかのような風貌を忠実に再現。■「NBPM_097 ポケットモンスター ミロカロス」「NBPM_098 ポケットモンスター メタグロス」も同時発売！■難易度：2　ピース数：130

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 45× 高さ 65× 奥行 50
◆重量(g)：31
◆パッケージサイズ(mm)：幅 105× 高さ 180× 奥行 13

(C)Pokemon. (C)Nintendo/Creatures Inc./GAME FREAK inc.

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","1,210円",11ポイント
NBPM_095,"品番：NBPM_095

ポケナノシリーズに作り応え抜群の「パルキア デラックス エディション」が新登場！！■へいこうして ならぶ くうかんの はざまに すむと いわれている。しんわに とうじょうする ポケモン。(『ポケットモンスター シャイニングパール』より）■背中の羽根や円型の肩、手の甲と下腹部から尻尾にかけて伸びる三本線の模様など、細部まで再現。羽根と尻尾が可動します。■同じくシンオウ地方の伝説のポケモンである「NBPM_094 ディアルガ デラックス エディション」も同時発売！■難易度：4　ピース数：1050

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 95× 高さ 120× 奥行 205
◆重量(g)：277
◆パッケージサイズ(mm)：幅 280× 高さ 210× 奥行 45

(C)Pokemon. (C)Nintendo/Creatures Inc./GAME FREAK inc.

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","5,060円",46ポイント
NBPM_094,"品番：NBPM_094

ポケナノシリーズに作り応え抜群の「ディアルガ デラックス エディション」が新登場！！■じかんを あやつる ちからを もつ。 シンオウちほうでは かみさまと よばれ しんわに とうじょうする。(『ポケットモンスター ブリリアントダイヤモンド』より）■青い胸部、全身に入る青白いライン、足先の鋭い三本の爪など、ディアルガの特徴を細部まで再現。首や尻尾は可動します。■同じくシンオウ地方の伝説のポケモンである「NBPM_095 ポケットモンスター パルキア デラックス エディション」も同時発売！■難易度：4　ピース数：1020

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 130× 高さ 145× 奥行 195
◆重量(g)：269
◆パッケージサイズ(mm)：幅 280× 高さ 210× 奥行 45

(C)Pokemon. (C)Nintendo/Creatures Inc./GAME FREAK inc.

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","5,060円",46ポイント
NBMC_49,"品番：NBMC_49S

「ゴジラ」のミニナノシリーズ第2弾が登場！！■「ミニナノ」はブラインドパッケージで展開するちっちゃくてカワイイ、ナノブロックのミニコレクタブルライン。■ゴジラ、ラドン、ビオランテ、メカキングギドラ、スペースゴジラ、デストロイアの計6種がラインナップ。■1BOX6個入りのブラインドパッケージ仕様。BOX購入で全6種コンプリート。■ピース数：50（ゴジラ）

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 30× 高さ 38× 奥行 40
◆重量(g)：132
◆パッケージサイズ(mm)：幅 110× 高さ 186× 奥行 90

TM ＆ (C) TOHO CO., LTD.

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","3,960円",36ポイント
NBMC_48,"【ウルトラセブン組立説明書訂正のお詫び】

品番：NBMC_48S

ウルトラマンのミニナノ第3弾は、2022年に55周年を迎えるウルトラセブンと怪獣たち！！■「ミニナノ」はブラインドパッケージで展開するちっちゃくてカワイイ、ナノブロックのミニコレクタブルライン。■ラインナップはウルトラセブン、エレキング、ガッツ星人、キングジョー、ミクラス、ウルトラ警備隊員の計６種。■1BOX6個入りのブラインドパッケージ仕様。BOX購入で全6種コンプリート。■ピース数：70(ウルトラセブン)

◆対象年齢：12才 以上
◆商品完成サイズ(mm)：幅 28× 高さ 41× 奥行 64
◆重量(g)：132
◆パッケージサイズ(mm)：幅 110× 高さ 186× 奥行 90

(C)TSUBURAYA PRODUCTIONS

※モニターの発色具合によって実際の商品と色味が異なる場合があります。","3,960円",36ポイント
