name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level
mininano DETECTIVE CONAN vol.4,NBMC-53,2023-01-21,105×180×13,32×38×28,50,6,12,NA
mininano DRAGON BALL Z vol.3,NBMC-52,2023-01-21,105×180×13,30×38×40,50,6,12,NA
DRAGON BALL Z CELL PERFECT FROM,NBDB-016,2023-01-21,105×180×13,36×62×24,110,NA,12,2
DRAGON BALL Z TRUNKS,NBDB-015,2023-01-21,105×180×13,40×56×30,110,NA,12,2
DRAGON BALL Z SON GOHAN SUPER SAIYAN,NBDB-014,2023-01-21,105×180×13,36×61×36,120,NA,12,3
nanoblock® PAD mini,NB-053,2023-01-21,105×180×13,80×80×2,NA,NA,12,NA
mininano THOMAS & FRIENDS,NBMC-51,2023-01-21,105×180×13,24×30×32,50,6,12,NA
MY HERO ACADEMIA ENDEAVOR,NBCC-146,2022-11-26,105×180×30,55×80×30,190,NA,12,2
MY HERO ACADEMIA IZUKU HAWKS,NBCC-147,2022-11-26,105×180×30,75×75×45,190,NA,12,2
MY HERO ACADEMIA SHOTO TODOROKI,NBCC-145,2022-11-26,105×180×30,45×55×70,200,NA,12,3
MY HERO ACADEMIA OCHACO URARAKA,NBCC-144,2022-11-26,105×180×30,45×75×40,220,NA,12,3
MY HERO ACADEMIA KATSUKI BAKUGO,NBCC-143,2022-11-26,105×180×30,65×55×45,210,NA,12,3
MY HERO ACADEMIA IZUKU MIDORIYA,NBCC-142,2022-11-26,105×180×30,45×80×40,180,NA,12,2
Pokémon PALKIA DELUXE EDITION/펄기아,NBPM-095,2022-11-26,280×210×45,95×120×205,1050,NA,12,4
Pokémon DIALGA DELUXE EDITION/디아루가 DELUXE EDITION,NBPM-094,2022-11-26,280×210×45,130×145×195,1020,NA,12,4
Pokémon Metagross/Métalosse/메타그로스,NBPM-098,2022-11-26,105×180×13,90×45×55,230,NA,12,2
Pokémon Milotic/Milobellus/밀로틱,NBPM-097,2022-11-26,105×180×13,70×60×55,200,NA,12,2
Pokémon Gardevoir/Guardevoir/가디안,NBPM-096,2022-11-26,105×180×13,45×65×50,130,NA,12,2
mininano GODZILLA vol.2,NBMC-49,2022-11-26,105×180×13,30×38×40,50,6,12,NA
mininano Ultraman vol.3 (ULTRASEVEN series),NBMC-48,2022-11-26,105×180×13,28×41×64,70,6,12,NA
mininano Sanrio characters vol.2 HAPiDANBUi,NBMC-47,2022-11-26,105×180×13,36×47×17,60,6,12,NA
mininano Lucky Charm & Omikuji,NBMC-50,2022-11-26,105×180×13,28×38×24,70,6,12,NA
RABBIT,NBC-377,2022-11-26,105×180×13,30×58×40,130,NA,12,2
"PARIS, BANKS OF THE SEINE DELUXE EDITION",NB-057,2022-11-26,420×210×70,160×350×200,2500,NA,12,4
SNOWMAN,NBC-368,2022-10-15,105×180×13,64×64×40,160,NA,12,2
CHRISTMAS TREE,NBC-369,2022-10-15,105×180×13,42×84×42,200,NA,12,2
mininano KIRBY vol.2,NBMC-46,2022-08-06,105×180×13,28×42×13,90,6,12,NA
KIRBY DREAM LAND,NBH-230,2022-08-06,140×140×45,120×84×80,400,NA,12,3
KIRBY 30th,NBCC-140,2022-08-06,105×180×30,47×70×50,220,NA,12,2
KINNIKUMAN ASHURAMAN,NBCC-131,2022-08-06,105×180×30,73×76×45,260,NA,12,3
KINNIKUMAN TERRYMAN,NBCC-130,2022-08-06,105×180×30,45×74×40,180,NA,12,2
mininano MY HERO ACADEMIA vol.3,NBMC-42,2022-08-06,105×180×13,30×39×22,60,6,12,NA
mininano Pokémon TYPE:POISON,NBMC-43,2022-08-06,105×180×13,28×35×28,50,6,12,NA
Pokémon MEGA FUSHIGIBANA,NBPM-092,2022-08-06,105×180×35,71×55×60,250,NA,12,2
Pokémon MEGA KAMEX,NBPM-093,2022-08-06,105×180×35,60×73×75,360,NA,12,3
SNOOPY HOUSE,NBH-228,2022-07-23,140×140×45,120×78×80,350,NA,12,3
mininano PEANUTS vol.3,NBMC-39,2022-07-23,105×180×13,20×42×28,60,6,12,NA
TOKYO SKYTREE®,NBH-229,2022-07-09,140×210×45,80×265×80,600,NA,12,5
Dinosaur Deluxe Edition GIGANOTOSAURUS,NBM-034,2022-07-09,280×210×45,320×143×80,1120,NA,12,5
Dinosaur Deluxe Edition TRICERATOPS,NBM-033,2022-07-09,280×210×45,260×102×72,930,NA,12,4
WATERSIDE PARASAUROLOPHUS,NBC-367,2022-07-09,105×180×13,80×67×85,150,NA,12,2
HATCHING TYRANNOSAURUS REX,NBC-366,2022-07-09,105×180×13,90×80×85,200,NA,12,2
PTERANODON,NBC-365,2022-07-09,105×180×13,130×67×75,130,NA,12,2
ANKYLOSAURUS,NBC-364,2022-07-09,105×180×13,44×57×105,210,NA,12,2
BRACHIOSAURUS,NBC-363,2022-07-09,105×180×13,32×122×110,190,NA,12,2
VELOCIRAPTOR,NBC-362,2022-07-09,105×180×13,54×76×120,170,NA,12,2
mininano miffy vol.2,NBMC-41,2022-07-09,105×180×13,28×51×12,60,6,12,NA
