name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level
mininano DETECTIVE CONAN vol.4,NBMC_53,2023/01/21,105×180×13 (mm),"32×38×28 (mm)
 （参考：コナン）",50（参考：コナン）,1BOX6個,12,NA
mininano DRAGON BALL Z vol.3,NBMC_52,2023/01/21,105×180×13 (mm),"30×38×40 (mm)
 （参考：ギニュー 悟空）",50（参考：ギニュー 悟空）,1BOX6個,12,NA
DRAGON BALL Z CELL PERFECT FROM,NBDB_016,2023/01/21,105×180×13 (mm),36×62×24 (mm),110,NA,12,2
DRAGON BALL Z TRUNKS,NBDB_015,2023/01/21,105×180×13 (mm),40×56×30 (mm),110,NA,12,2
DRAGON BALL Z SON GOHAN SUPER SAIYAN,NBDB_014,2023/01/21,105×180×13 (mm),36×61×36 (mm),120,NA,12,3
nanoblock® PAD mini,NB-053,2023/01/21,105×180×13 (mm),80×80×2 (mm),NA,NA,12,NA
mininano THOMAS & FRIENDS,NBMC_51,2023/01/21,105×180×13 (mm),"24×30×32 (mm)
 （参考：トーマス）",50（参考：トーマス）,1BOX6個,12,NA
MY HERO ACADEMIA ENDEAVOR,NBCC_146,2022/11/26,105×180×30 (mm),55×80×30 (mm),190,NA,12,2
MY HERO ACADEMIA IZUKU HAWKS,NBCC_147,2022/11/26,105×180×30 (mm),75×75×45 (mm),190,NA,12,2
MY HERO ACADEMIA SHOTO TODOROKI,NBCC_145,2022/11/26,105×180×30 (mm),45×55×70 (mm),200,NA,12,3
MY HERO ACADEMIA OCHACO URARAKA,NBCC_144,2022/11/26,105×180×30 (mm),45×75×40 (mm),220,NA,12,3
MY HERO ACADEMIA KATSUKI BAKUGO,NBCC_143,2022/11/26,105×180×30 (mm),65×55×45 (mm),210,NA,12,3
MY HERO ACADEMIA IZUKU MIDORIYA,NBCC_142,2022/11/26,105×180×30 (mm),45×80×40 (mm),180,NA,12,2
Pokémon PALKIA DELUXE EDITION/펄기아,NBPM_095,2022/11/26,280×210×45 (mm),95×120×205 (mm),1050,NA,12,4
Pokémon DIALGA DELUXE EDITION/디아루가 DELUXE EDITION,NBPM_094,2022/11/26,280×210×45 (mm),130×145×195 (mm),1020,NA,12,4
Pokémon Metagross/Métalosse/메타그로스,NBPM_098,2022/11/26,105×180×13 (mm),90×45×55 (mm),230,NA,12,2
Pokémon Milotic/Milobellus/밀로틱,NBPM_097,2022/11/26,105×180×13 (mm),70×60×55 (mm),200,NA,12,2
Pokémon Gardevoir/Guardevoir/가디안,NBPM_096,2022/11/26,105×180×13 (mm),45×65×50 (mm),130,NA,12,2
mininano GODZILLA vol.2,NBMC_49,2022/11/26,105×180×13 (mm),"30×38×40 (mm)
 (参考：ゴジラ)",50 (参考：ゴジラ),1BOX6個,12,NA
mininano Ultraman vol.3 (ULTRASEVEN series),NBMC_48,2022/11/26,105×180×13 (mm),"28×41×64 (mm)
 (参考：ウルトラセブン)",70(参考：ウルトラセブン),1BOX6個,12,NA
mininano Sanrio characters vol.2 HAPiDANBUi,NBMC_47,2022/11/26,105×180×13 (mm),"36×47×17 (mm)
 (参考：ポチャッコ)",60(参考：ポチャッコ),1BOX6個,12,NA
mininano Lucky Charm & Omikuji,NBMC_50,2022/11/26,105×180×13 (mm),"28×38×24 (mm)
 （参考：白招き猫）",70 (参考：白招き猫),1BOX6個,12,NA
RABBIT,NBC_377,2022/11/26,105×180×13 (mm),30×58×40 (mm),130,NA,12,2
"PARIS, BANKS OF THE SEINE DELUXE EDITION",NB-057,2022/11/26,420×210×70 (mm),160×350×200 (mm),2500,NA,12,4
SNOWMAN,NBC_368,2022/10/15,105×180×13 (mm),64×64×40 (mm),160,NA,12,2
CHRISTMAS TREE,NBC_369,2022/10/15,105×180×13 (mm),42×84×42 (mm),200,NA,12,2
mininano KIRBY vol.2,NBMC_46,2022/08/06,105×180×13 (mm),"28×42×13 (mm)
 （参考：フレンズハート）",90（参考：フレンズハート）,1BOX6個,12,NA
KIRBY DREAM LAND,NBH_230,2022/08/06,140×140×45 (mm),120×84×80 (mm),400,NA,12,3
KIRBY 30th,NBCC_140,2022/08/06,105×180×30 (mm),47×70×50 (mm),220,NA,12,2
KINNIKUMAN ASHURAMAN,NBCC_131,2022/08/06,105×180×30 (mm),73×76×45 (mm),260,NA,12,3
KINNIKUMAN TERRYMAN,NBCC_130,2022/08/06,105×180×30 (mm),45×74×40 (mm),180,NA,12,2
mininano MY HERO ACADEMIA vol.3,NBMC_42,2022/08/06,105×180×13 (mm),"30×39×22 (mm)
 (参考：通形ミリオ)",60 (参考：通形ミリオ),1BOX6個,12,NA
mininano Pokémon TYPE:POISON,NBMC_43,2022/08/06,105×180×13 (mm),"28×35×28 (mm)
 （参考：メノクラゲ）",50（参考：メノクラゲ）,1BOX6個,12,NA
Pokémon MEGA FUSHIGIBANA,NBPM_092,2022/08/06,105×180×35 (mm),71×55×60 (mm),250,NA,12,2
Pokémon MEGA KAMEX,NBPM_093,2022/08/06,105×180×35 (mm),60×73×75 (mm),360,NA,12,3
SNOOPY HOUSE,NBH_228,2022/07/23,140×140×45 (mm),120×78×80 (mm),350,NA,12,3
mininano PEANUTS vol.3,NBMC_39,2022/07/23,105×180×13 (mm),"20×42×28 (mm)
 (参考：ジョー・クール)",60 (参考：ジョー・クール),1BOX6個,12,NA
TOKYO SKYTREE®,NBH_229,2022/07/09,140×210×45 (mm),80×265×80 (mm),600,NA,12,5
Dinosaur Deluxe Edition GIGANOTOSAURUS,NBM-034,2022/07/09,280×210×45 (mm),320×143×80 (mm),1120,NA,12,5
Dinosaur Deluxe Edition TRICERATOPS,NBM-033,2022/07/09,280×210×45 (mm),260×102×72 (mm),930,NA,12,4
WATERSIDE PARASAUROLOPHUS,NBC_367,2022/07/09,105×180×13 (mm),80×67×85 (mm),150,NA,12,2
HATCHING TYRANNOSAURUS REX,NBC_366,2022/07/09,105×180×13 (mm),90×80×85 (mm),200,NA,12,2
PTERANODON,NBC_365,2022/07/09,105×180×13 (mm),130×67×75 (mm),130,NA,12,2
ANKYLOSAURUS,NBC_364,2022/07/09,105×180×13 (mm),44×57×105 (mm),210,NA,12,2
BRACHIOSAURUS,NBC_363,2022/07/09,105×180×13 (mm),32×122×110 (mm),190,NA,12,2
VELOCIRAPTOR,NBC_362,2022/07/09,105×180×13 (mm),54×76×120 (mm),170,NA,12,2
mininano miffy vol.2,NBMC_41,2022/07/09,105×180×13 (mm),"28×51×12 (mm)
 (参考：ミッフィー)",60(参考：ミッフィー),1BOX6個,12,NA
mininano DRAGON BALL Z vol.2,NBMC_40,2022/07/09,105×180×13 (mm),"28×54×24 (mm)
 (参考：孫悟空)",80 (参考：孫悟空),1BOX6個,12,NA
mininano I’m Doraemon vol.2,NBMC_38,2022/07/09,105×180×13 (mm),"28×36×24 (mm)
 (参考：ドラえもん)",90(参考：ドラえもん),1BOX6個,12,NA
Pokémon SUICUNE,NBPM_091,2022/04/23,105×180×35 (mm),48×74×112 (mm),220,NA,12,3
Pokémon ENTEI,NBPM_090,2022/04/23,105×180×35 (mm),68×59×100 (mm),240,NA,12,3
Pokémon RAIKOU,NBPM_089,2022/04/23,105×180×35 (mm),36×53×100 (mm),250,NA,12,3
mininano Rilakkuma vol.2,NBMC_36,2022/4/23,105×180×13 (mm),"28×35×22 (mm)
 (参考：リラックマ)","70
 (参考：リラックマ)",1BOX6個,12,NA
mininano CRAYON SHINCHAN vol.3,NBMC_35,2022/4/23,105×180×13(mm),"32×38×24(mm)
 (参考：しんちゃん)","70
 (参考：しんちゃん)",1BOX6個,12,NA
mininano SPY×FAMILY,NBMC_37,2022/04/15,105×180×13 (mm),"32×38×20 (mm)
 (参考：アーニャ)",69(参考：アーニャ),1BOX6個,12,NA
mininano DETECTIVE CONAN vol.3,NBMC_34,2022/03/12,"105×180×13 (mm)
","32×38×28 (mm)
 (参考：コナン)",70(参考：コナン),1BOX6個,12,NA
mininano TOTTOKO HAMUTARO,NBMC_33,2022/01/22,105×180×13(mm),"28×26×36(mm)
 (参考：ハム太郎)",60(参考：ハム太郎),1BOX6個,12,NA
Pokémon POCHAMA BRILLIANT SHINING ver.,NBPM_088,2022/01/22,105×180×13 (mm),52×57×48 (mm),170,NA,12,2
Pokémon HIKOZARU BRILLIANT SHINING ver.,NBPM_087,2022/01/22,105×180×13 (mm),48×65×48 (mm),150,NA,12,2
Pokémon NAETLE BRILLIANT SHINING ver.,NBPM_086,2022/01/22,105×180×13 (mm),36×47×56 (mm),130,NA,12,2
Pokémon GABURIAS BRILLIANT SHINING ver.,NBPM_085,2022/01/22,105×180×13 (mm),36×47×56 (mm),210,NA,12,3
Pokémon GLACIA BRILLIANT SHINING ver.,NBPM_084,2022/01/22,105×180×13 (mm),44×50×60 (mm),160,NA,12,2
Pokémon LEAFIA BRILLIANT SHINING ver.,NBPM_083,2022/01/22,105×180×13 (mm),44×50×60 (mm),140,NA,12,2
Pokémon LUCARIO BRILLIANT SHINING ver.,NBPM_082,2022/01/22,105×180×13 (mm),56×73×64 (mm),160,NA,12,3
mininano DRAGON BALL Z,NBMC_24,2022/01/22,105×180×13 (mm),"31×51×20 (mm)
 (参考：孫悟空)",70(参考：孫悟空),1BOX6個,12,NA
DRAGON BALL Z FRIEZA,NBDB_009,2022/01/22,105×180×13 (mm),32×60×28 (mm),110,NA,12,3
DRAGON BALL Z SON GOKU SUPER SAIYAN,NBDB_007,2022/01/22,105×180×13 (mm),35×72×30 (mm),130,NA,12,3
DRAGON BALL Z VEGETA,NBDB_004,2022/01/22,105×180×13 (mm),36×58×24 (mm),130,NA,12,3
DRAGON BALL Z PICCOLO,NBDB_003,2022/01/22,105×180×13 (mm),36×58×24 (mm),100,NA,12,3
DRAGON BALL Z SON GOHAN,NBDB_002,2022/01/22,105×180×13 (mm),32×60×32 (mm),110,NA,12,2
DRAGON BALL Z SON GOKU,NBDB_001,2022/01/22,105×180×13 (mm),44×76×28 (mm),110,NA,12,3
干支 十二支セット,NB-055,2021/11/27,420×210×70 (mm),"43×58×84 (mm)
 （参考：寅）",2020,NA,12,3
リザードン DX,NBPM_080,2021/11/27,280×210×45 (mm),190×140×190 (mm),860,NA,12,4
mininano KINNIKUMAN vol.2,NBMC_32,2021/11/27,105×180×13 (mm),"32×44×20 (mm)
 (参考：ウォーズマン)",80 (参考：ウォーズマン),1BOX6個,12,NA
mininano Pokémon Type: Flying,NBMC_31,2021/11/27,105×180×13 (mm),"20×29×32 (mm)
 (参考：ポッポ)",40 (参考：ポッポ),1BOX6個,12,NA
mininano CHIBI MARUKO-CHAN　vol.2,NBMC_30,2021/11/27,105×180×13 (mm),"30×50×20 (mm)
 (参考：まる子)",80 (参考：まる子),1BOX6個,12,NA
WARSMAN,NBCC_123,2021/11/27,105×180×30(mm),48×72×38(mm),200,NA,12,3
ROBIN MASK,NBCC_122,2021/11/27,105×180×30(mm),40×74×42(mm),190,NA,12,3
干支 寅,NBC_361,2021/11/27,105×180×13 (mm),43×58×84 (mm),230,NA,12,2
盆栽 桜,NBH_225,2021/11/27,140×140×45 (mm),80×140×40 (mm),270,NA,12,2
盆栽 松,NBH_224,2021/11/27,140×140×45 (mm),110×113×44 (mm),280,NA,12,2
クリスマスリース,NBH_220,2021/10/16,140×210×45(mm),140×135×45(mm),580,NA,12,3
ドラゴン,NBM-032,2021/9/25,280×210×45 (mm),170×120×170 (mm),960,NA,12,4
東京駅丸の内駅舎 デラックスエディション,NB-054,2021/9/25,420×210×70 (mm),480×110×120 (mm),3140,NA,12,5
バッファローマン,NBCC_118,2021/9/25,105×180×30 (mm),56×74×42 (mm),230,NA,12,3
キン肉マン,NBCC_117,2021/9/25,105×180×30 (mm),63×74×42 (mm),200,NA,12,3
ポケットモンスター ポッチャマ,NBPM_079,2021/9/25,105×180×13 (mm),52×57×48 (mm),170,NA,12,2
ポケットモンスター ヒコザル,NBPM_078,2021/9/25,105×180×13 (mm),48×65×48 (mm),150,NA,12,2
ポケットモンスター ナエトル,NBPM_077,2021/9/25,105×180×13 (mm),36×47×56 (mm),130,NA,12,2
ミニナノ　星のカービィ,NBMC_29,2021/9/25,105×180×13 (mm),"36×30×20 (mm)
 (参考：カービィ)",80 (参考：カービィ),1BOX6個,12,NA
厳島神社大鳥居,NBH_222,2021/9/25,140×140×45 (mm),80×65×160 (mm),470,NA,12,3
アワードセレクション 和服女子,NBC_358,2021/9/1,105×180×20 (mm),52×80×20 (mm),90,NA,12,2
Honda スーパーカブ 50 (グリーン),NBC_357,2021/9/1,105×180×13 (mm),43×58×84 (mm),200,NA,12,2
Honda スーパーカブ 50 (ブルー),NBC_356,2021/9/1,105×180×13 (mm),43×58×84 (mm),200,NA,12,2
mininano PEANUTS vol.2,NBMC_26,2021/8/7,105×180×13 (mm),"32×41×20 (mm)
 （参考：オラフ）",69 （参考：オラフ）,NA,12,NA
mininano Pokémon Type: Dragon,NBMC_25,2021/8/7,105×180×13 (mm),"25×40×40 (mm)
 （参考：ミニリュウ）",65 （参考：ミニリュウ）,NA,12,NA
ザトウクジラ,NBC_354,2021/8/7,105×180×13 (mm),70×50×130 (mm),190,NA,12,2
タツノオトシゴ,NBC_353,2021/8/7,105×180×13 (mm),30×100×40 (mm),130,NA,12,2
カジキ,NBC_352,2021/8/7,105×180×13 (mm),61×140×70 (mm),170,NA,12,2
シャチ,NBC_333,2021/8/7,105×180×13 (mm),50×50×107 (mm),140,NA,12,2
ホホジロザメ,NBC_332,2021/8/7,105×180×13 (mm),48×60×120 (mm),190,NA,12,2
mininano PUI PUI MOLCAR,NBMC_28,2021/7/23,105×180×13 (mm),"30×23×32 (mm)
 (参考：ポテト)",60 (参考：ポテト),1BOX6個,12,NA
ミニナノ ミッフィー,NBMC_27,2021/7/11,105×180×13 (mm),"28×50×12 (mm)
 (参考：ミッフィー）",(参考：ミッフィー）,NA,12,NA
Dinosaur Deluxe Edition TYRANNOSAURUS REX,NBM-031,2021/7/3,280×210×45 (mm),95×110×270 (mm),850,NA,12,4
姫路城 デラックスエディション,NB-051,2021/7/3,420×210×70 (mm),204×165× 200 (mm),2750,NA,12,5
PAC-MAN ARCADE MACHINE,NBCC_107,2021/7/3,105×180×20 (mm),32×62×36 (mm),160,NA,12,2
PAC-MAN BLINKY ＆ INKY,NBCC_106,2021/7/3,105×180×20 (mm),36×35×20 (mm),180,NA,12,2
PAC-MAN PAC-MAN & CHERRY,NBCC_105,2021/7/3,105×180×20 (mm),32×38×32 (mm),150,NA,12,1
キャラナノ マジンガーZ,CN-36,2021/7/3,105×140×70 (mm),64×90×45 (mm),370,NA,12,3
ミニナノ 僕のヒーローアカデミア vol.2,NBMC_23,2021/7/3,105×180×13 (mm),"30×35×25 (mm)
 （参考：緑谷 出久）",60 （参考：緑谷 出久）,NA,12,NA
mininano ULTRAMAN vol.2,NBMC_22,2021/7/3,105×180×13 (mm),"25×48×42 (mm)

 (参考：ウルトラマン）",70 (参考：ウルトラマン）,NA,12,NA
MOSASAURUS,NBC_349,2021/7/3,105×180×13 (mm),60×45×150 (mm),180,NA,12,2
ドラムセット グリーン,NBC_348,2021/7/3,105×180×13 (mm),100×50×60 (mm),190,NA,12,2
エレキギター イエロー,NBC_347,2021/7/3,105×180×13 (mm),40×130×25 (mm),160,NA,12,1
エレキギター パステルブルー,NBC_346,2021/7/3,105×180×13 (mm),40×130×25 (mm),150,NA,12,1
ハシビロコウ,NBC_345,2021/7/3,105×180×13 (mm),30×80×52 (mm),170,NA,12,2
キバタン,NBC_344,2021/7/3,105×180×13 (mm),30×75×88 (mm),140,NA,12,2
ルリコンゴウインコ,NBC_343,2021/7/3,105×180×13 (mm),135×50×97 (mm),140,NA,12,2
MOTORCYCLE,NBH_219,2021/7/3,140×210×45 (mm),60×75×140 (mm),570,NA,12,4
スペースセンター,NBH_218,2021/7/3,140×140×45 (mm),80×150×80 (mm),510,NA,12,3
ポケットモンスター ダクマ,NBPM_076,2021/4/17,105×180×20 (mm),34×58×64 (mm),160,NA,12,2
ポケットモンスター ガブリアス,NBPM_075,2021/4/17,105×180×13 (mm),52×62×60 (mm),210,NA,12,2
mininano Pokémon Type: Grass,NBMC_21,2021/4/17,105×180×13 (mm),"34×58×64 (mm)
 （参考：フシギダネ）",65 （参考：フシギダネ）,NA,12,NA
mininano Crayon Shinchan vol.2,NBMC_20,2021/4/17,105×180×13 (mm),"32×40×23 (mm)
 （参考：しんちゃん 園服ver）","70
 (参考：しんちゃん 園服ver）",NA,12,NA
トランペット,NBC_338,2021/4/17,105×180×13 (mm),24×39×78 (mm),110,NA,12,2
ヴァイオリン,NBC_337,2021/4/17,105×180×13 (mm),40×101×16 (mm),190,NA,12,1
グランドピアノ,NBC_336,2021/4/17,105×180×13 (mm),42×43 52 (mm),190,NA,12,2
ストーリーズコレクション ウェディング,NBH_212,2021/4/17,140×140×45 (mm),80×140×80 (mm),300,NA,12,2
サグラダファミリア,NBH_211,2021/4/17,140×140×45 (mm),80×96×80 (mm),740,NA,12,3
ポケットモンスター ニンフィア,NBPM_073,2021/1/23,105×180×13 (mm),52×62×60 (mm),170,NA,12,3
ポケットモンスター グレイシア,NBPM_072,2021/1/23,105×180×13 (mm),44×50×60 (mm),160,NA,12,2
ポケットモンスター リーフィア,NBPM_071,2021/1/23,105×180×13 (mm),44×50×60 (mm),140,NA,12,2
江戸川 コナン（スケボーver.),CN-32,2021/1/23,105×140×70 (mm),64×118×60 (mm),320,NA,12,4
mininano Detective Conan vol.2,NBMC_18,2021/1/23,105×180×13 (mm),"42×46×28 (mm)
 （参考：コナン）",80 （参考：コナン）,NA,12,NA
mininano RILAKKUMA,NBMC_17,2021/1/23予,105×180×13 (mm),"20×50×28 (mm)
 （参考：リラックマ）",60 （参考：リラックマ）,NA,12,NA
mininano Pokémon Type: Water,NBMC_16,2021/1/23予,105×180×13 (mm),"20×38×40 (mm)
 （参考：コイキング）","70
 （参考：コイキング）",NA,12,NA
mininano Evangelion vol.2,NBMC_19,2021/1/1,105×180×13 (mm),"35×55×27 (mm)
 （参考：初号機）",75 （参考：初号機）,NA,12,NA
海賊船 デラックスエディション,NB-050,2020/12/5,420×210×70 (mm),320× 235×110 (mm),3280,NA,12,5
ポケットモンスター レックウザ エクストリームDX,NBPM_074,2020/11/21,410×270×70 (mm),220×210×200 (mm),1790,NA,12,5
ポケットモンスター ゲッコウガ,NBPM_070,2020/11/21,105×180×13 (mm),80×58×48 (mm),180,NA,12,3
ポケットモンスター ワンパチ,NBPM_069,2020/11/21,105×180×30 (mm),34×58×64 (mm),190,NA,12,2
mininano LUCKY CHARMS 2021,NBMC_15,2020/11/21,105×180×13 (mm),"48×38×17 (mm)
 (参考：鳥居）",50 (参考：鳥居）,NA,12,NA
mininano Pokémon Type : Normal,NBMC_14,2020/11/21,105×180×13 (mm),"28×33×44 (mm)
 (参考:イーブイ)",60 (参考:イーブイ),NA,12,NA
Mininano KINNIKUMAN,NBMC_13,2020/11/21,105×180×13 (mm),"20×50×28 (mm)
 (参考: キン肉マン)",70 (参考: キン肉マン),NA,12,NA
名古屋城,NBH_207,2020/11/21,140×140×45 (mm),80×95×80 (mm),550,NA,12,3
ノートルダム大聖堂,NBH_205,2020/11/21,140×210×45 (mm),80×92×160 (mm),1040,NA,12,4
首里城,NBM-030,2020/9/12,280×210×45 (mm),160×74×120 (mm),840,NA,12,3
ポケットモンスター ルカリオ,NBPM_068,2020/9/12,105×180×13 (mm),56×73×64 (mm),160,NA,12,3
